Symbol,Name,Country,IPO Year,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,China,,Consumer Services,Other Consumer Services
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,2020,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,United States,2020,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,United States,2020,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Major Pharmaceuticals
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Finance,Diversified Commercial Services
ABST,Absolute Software Corporation Common Stock,Canada,2020,Technology,Computer Software: Prepackaged Software
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,Health Care,Major Pharmaceuticals
ACAC,Acies Acquisition Corp. Class A Ordinary Share,United States,2020,Finance,Business Services
ACACU,Acies Acquisition Corp. Unit,United States,2020,Finance,Business Services
ACACW,Acies Acquisition Corp. Warrant,United States,2020,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Major Pharmaceuticals
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,United States,2020,,
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,Health Care,Major Pharmaceuticals
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,Acacia Communications Inc. Common Stock,United States,2016,Technology,Semiconductors
ACIU,AC Immune SA Common Stock,Switzerland,2016,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021,Finance,Business Services
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020,Finance,Business Services
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,2020,Capital Goods,Auto Manufacturing
ACTCU,ArcLight Clean Transition Corp. Unit,United States,2020,Capital Goods,Auto Manufacturing
ACTCW,ArcLight Clean Transition Corp. Warrant,United States,2020,Capital Goods,Auto Manufacturing
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ADAG,Adagene Inc. American Depositary Shares,China,2021,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADERU,26 Capital Acquisition Corp. Unit,United States,2021,Finance,Business Services
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,Basic Industries,Major Chemicals
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,Miscellaneous,Industrial Machinery/Components
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,Miscellaneous,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,United States,2020,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,United States,2020,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,United States,,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc. Common Stock,United States,1994,Public Utilities,Telecommunications Equipment
ADTX,ADiTx Therapeutics Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,Miscellaneous,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,Miscellaneous,Business Services
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,Health Care,Major Pharmaceuticals
ADXS,Advaxis Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
AEACU,Authentic Equity Acquisition Corp. Unit,United States,2021,Finance,Business Services
AEGN,Aegion Corp Common Stock,United States,,Basic Industries,Water Supply
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China,,Capital Goods,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,United States,2020,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,Capital Goods,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
AEP,American Electric Power Company Inc. Common Stock,United States,,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,United States,,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,United States,,Public Utilities,Electric Utilities: Central
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AESE,Allied Esports Entertainment Inc. Common Stock,United States,2017,Consumer Services,Services-Misc. Amusement & Recreation
AEY,ADDvantage Technologies Group Inc. Common Stock,United States,,Consumer Services,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,Canada,,Health Care,Major Pharmaceuticals
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,Finance,Savings Institutions
AFIB,Acutus Medical Inc. Common Stock,United States,2020,Health Care,Medical/Dental Instruments
AFIN,American Finance Trust Inc. Class A Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AFMD,Affimed N.V.,Germany,2014,Health Care,Major Pharmaceuticals
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Miscellaneous,Business Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,Consumer Services,Other Consumer Services
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong,2019,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,Hong Kong,2019,Finance,Business Services
AGBAW,AGBA Acquisition Limited Warrant,Hong Kong,2019,Finance,Business Services
AGC,Altimeter Growth Corp. Class A Ordinary Shares,United States,2020,Finance,Business Services
AGCUU,Altimeter Growth Corp. Unit,United States,2020,Finance,Business Services
AGCWW,Altimeter Growth Corp. Warrant,United States,2020,Finance,Business Services
AGEN,Agenus Inc. Common Stock,United States,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,United States,2014,Basic Industries,Agricultural Chemicals
AGFY,Agrify Corporation Common Stock,United States,2021,Consumer Non-Durables,Farming/Seeds/Milling
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,2016,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Consumer Services,Real Estate Investment Trusts
AGRX,Agile Therapeutics Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
AGTC,Applied Genetic Technologies Corporation Common Stock,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGYS,Agilysys Inc. Common Stock,United States,,Technology,EDP Services
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,United States,2020,Finance,Business Services
AHACU,Alpha Healthcare Acquisition Corp. Unit,United States,2020,Finance,Business Services
AHACW,Alpha Healthcare Acquisition Corp. Warrant,United States,2020,Finance,Business Services
AHCO,AdaptHealth Corp. Class A Common Stock,United States,2018,Health Care,Medical/Nursing Services
AHPI,Allied Healthcare Products Inc. Common Stock,United States,1992,Health Care,Industrial Specialties
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China,2019,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,China,2018,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc. Common Stock,United States,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIMC,Altra Industrial Motion Corp. Common Stock,United States,2006,Capital Goods,Industrial Machinery/Components
AINV,Apollo Investment Corporation Common Stock,United States,2004,,
AIRG,Airgain Inc. Common Stock,United States,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AIRT,Air T Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,Transportation,Air Freight/Delivery Services
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,United States,,Transportation,Air Freight/Delivery Services
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc. Common Stock,United States,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States,,,
AKICU,Sports Ventures Acquisition Corp. Unit,United States,2021,Finance,Business Services
AKICW,Sports Ventures Acquisition Corp. Warrant,United States,,,
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc. Common Stock,United States,,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADR (0.01 USD),United Kingdom,,Health Care,Major Pharmaceuticals
AKU,Akumin Inc. Common Shares,Canada,,Health Care,Medical Specialities
AKUS,Akouos Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
ALAC,Alberton Acquisition Corporation Ordinary Shares,Hong Kong,2018,Basic Industries,Engineering & Construction
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Hong Kong,2018,Basic Industries,Engineering & Construction
ALACU,Alberton Acquisition Corporation Unit,Hong Kong,2018,Basic Industries,Engineering & Construction
ALACW,Alberton Acquisition Corporation Warrant,Hong Kong,2018,Basic Industries,Engineering & Construction
ALBO,Albireo Pharma Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ALCO,Alico Inc. Common Stock,United States,,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
ALEC,Alector Inc. Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,United States,2006,Transportation,Air Freight/Delivery Services
ALIM,Alimera Sciences Inc. Common Stock,United States,2010,Health Care,Major Pharmaceuticals
ALJJ,ALJ Regional Holdings Inc. Common Stock,United States,,Miscellaneous,Business Services
ALKS,Alkermes plc Ordinary Shares,Ireland,1991,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ALLO,Allogene Therapeutics Inc. Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd. Ordinary Shares,Israel,2006,Technology,Computer Communications Equipment
ALNA,Allena Pharmaceuticals Inc. Common Stock,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Major Pharmaceuticals
ALOT,AstroNova Inc. Common Stock,United States,1983,Technology,Computer peripheral equipment
ALPN,Alpine Immune Sciences Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc. Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,United States,2017,Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation Common Stock,United States,2019,Finance,Major Banks
ALSK,Alaska Communications Systems Group Inc. Common Stock,United States,1999,Public Utilities,Telecommunications Equipment
ALT,Altimmune Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ALTA,Altabancorp Common Stock,United States,2015,Finance,Major Banks
ALTM,Altus Midstream Company Class A Common Stock,United States,2017,Public Utilities,Natural Gas Distribution
ALTO,Alto Ingredients Inc. Common Stock,United States,,Basic Industries,Major Chemicals
ALTR,Altair Engineering Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States,2021,Finance,Business Services
ALTUU,Altitude Acquisition Corp. Unit,United States,2020,Finance,Business Services
ALTUW,Altitude Acquisition Corp. Warrant,United States,2021,Finance,Business Services
ALVR,AlloVir Inc. Common Stock,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXN,Alexion Pharmaceuticals Inc. Common Stock,United States,1996,Health Care,Major Pharmaceuticals
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,Canada,,Technology,Computer Software: Programming Data Processing
AMAL,Amalgamated Bank Class A Common Stock,United States,2018,Consumer Non-Durables,Textiles
AMAT,Applied Materials Inc. Common Stock,United States,1972,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,Technology,Semiconductors
AMCX,AMC Networks Inc. Class A Common Stock,United States,,Consumer Services,Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,United States,,Health Care,Medical/Nursing Services
AMEH,Apollo Medical Holdings Inc. Common Stock,United States,,Consumer Services,Professional Services
AMGN,Amgen Inc. Common Stock,United States,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,United States,2020,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,United States,2019,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,United States,2020,Finance,Business Services
AMKR,Amkor Technology Inc. Common Stock,United States,1998,Technology,Semiconductors
AMNB,American National Bankshares Inc. Common Stock,United States,,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,United States,,Capital Goods,Electrical Products
AMPG,Amplitech Group Inc. Common Stock,United States,,Capital Goods,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,United States,,Capital Goods,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
AMRB,American River Bankshares Common Stock,United States,,Finance,Major Banks
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,,Basic Industries,Other Specialty Stores
AMRN,Amarin Corporation plc,Ireland,,Health Care,Major Pharmaceuticals
AMRS,Amyris Inc. Common Stock,United States,2010,Basic Industries,Major Chemicals
AMSC,American Superconductor Corporation Common Stock,United States,1991,Consumer Durables,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,2005,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
AMSWA,American Software Inc. Class A Common Stock,United States,,Technology,Computer Software: Prepackaged Software
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States,,Finance,Major Banks
AMTBB,Amerant Bancorp Inc. Class B Common Stock,United States,,Finance,Major Banks
AMTI,Applied Molecular Transport Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
AMTX,Aemetis Inc. Common Stock,United States,,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,United States,1986,Basic Industries,Forest Products
AMYT,Amryt Pharma plc American Depositary Shares,United Kingdom,,Health Care,Major Pharmaceuticals
AMZN,Amazon.com Inc. Common Stock,United States,1997,Consumer Services,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,United States,2017,Health Care,Major Pharmaceuticals
ANAT,American National Group Inc. Common Stock,United States,,Finance,Life Insurance
ANCN,Anchiano Therapeutics Ltd. American Depositary Share,Israel,2019,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III Ordinary Shares,United States,2019,Finance,Business Services
ANDAR,Andina Acquisition Corp. III Right,United States,2019,Finance,Business Services
ANDAU,Andina Acquisition Corp. III Unit,United States,2019,Finance,Business Services
ANDAW,Andina Acquisition Corp. III Warrant,United States,2019,Finance,Business Services
ANDE,Andersons Inc. (The) Common Stock,United States,,Consumer Services,Farming/Seeds/Milling
ANGI,ANGI Homeservices Inc. Class A Common Stock,United States,,Consumer Services,Advertising
ANGN,Angion Biomedica Corp. Common Stock,United States,2021,Health Care,Major Pharmaceuticals
ANGO,AngioDynamics Inc. Common Stock,United States,2004,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,,Health Care,Major Pharmaceuticals
ANIX,Anixa Biosciences Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ANNX,Annexon Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,China,2020,Health Care,Medical Specialities
ANSS,ANSYS Inc. Common Stock,United States,1996,Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc. American Depositary Shares,China,,Technology,Advertising
ANY,Sphere 3D Corp. Common Shares,Canada,,Technology,EDP Services
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,2010,Technology,Semiconductors
AOUT,American Outdoor Brands Inc. Common Stock ,United States,,Capital Goods,Ordnance And Accessories
APA,Apache Corporation Common Stock,United States,,Energy,Oil & Gas Production
APDN,Applied DNA Sciences Inc. Common Stock,United States,,Consumer Services,Other Consumer Services
APEI,American Public Education Inc. Common Stock,United States,2007,Consumer Services,Other Consumer Services
APEN,Apollo Endosurgery Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
APHA,Aphria Inc. Common Shares,Canada,,Consumer Durables,Specialty Chemicals
API,Agora Inc. American Depositary Shares,China,2020,Technology,Computer Software: Prepackaged Software
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,Health Care,Major Pharmaceuticals
APLT,Applied Therapeutics Inc. Common Stock,United States,2019,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited Class A Ordinary Shares,Hong Kong,2018,Health Care,Major Pharmaceuticals
APOG,Apogee Enterprises Inc. Common Stock,United States,,Capital Goods,Auto Parts:O.E.M.
APOP,Cellect Biotechnology Ltd. American Depositary Shares,Israel,2016,Health Care,Medical/Dental Instruments
APOPW,Cellect Biotechnology Ltd. Warrants to Purchase ADRs,Israel,2016,Health Care,Medical/Dental Instruments
APPF,AppFolio Inc. Class A Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
APPH,AppHarvest Inc. Common Stock,United States,2020,Consumer Non-Durables,Farming/Seeds/Milling
APPHW,AppHarvest Inc. Warrants,United States,2020,Consumer Non-Durables,Farming/Seeds/Milling
APPN,Appian Corporation Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,United States,,Miscellaneous,Multi-Sector Companies
APR,Apria Inc. Common Stock,United States,2021,Health Care,Medical/Nursing Services
APRE,Aprea Therapeutics Inc. Common stock,United States,2019,Health Care,Major Pharmaceuticals
APTO,Aptose Biosciences Inc. Common Shares,Canada,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APTX,Aptinyx Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,,Basic Industries,Telecommunications Equipment
APXT,Apex Technology Acquisition Corporation Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
APXTU,Apex Technology Acquisition Corporation Unit,United States,2019,Technology,Computer Software: Prepackaged Software
APXTW,Apex Technology Acquisition Corporation Warrant,United States,2019,Technology,Computer Software: Prepackaged Software
APYX,Apyx Medical Corporation Common Stock,United States,,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies Inc. Common Stock,United States,,,
AQMS,Aqua Metals Inc. Common Stock,United States,2015,Basic Industries,Metal Fabrications
AQST,Aquestive Therapeutics Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ARAV,Aravive Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
ARAY,Accuray Incorporated Common Stock,United States,2007,Health Care,Medical/Dental Instruments
ARBG,Aequi Acquisition Corp. Class A Common Stock,United States,2021,Finance,Business Services
ARBGU,Aequi Acquisition Corp. Unit,United States,2020,Finance,Business Services
ARBGW,Aequi Acquisition Corp. warrants,United States,2021,Finance,Business Services
ARCB,ArcBest Corporation Common Stock,United States,,Transportation,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,2004,,
ARCE,Arco Platform Limited Class A Common Shares,Brazil,2018,Consumer Services,Other Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,2013,Health Care,Major Pharmaceuticals
ARDS,Aridis Pharmaceuticals Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ARDX,Ardelyx Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
AREC,American Resources Corporation Class A Common Stock,United States,,Consumer Services,Other Consumer Services
ARGX,argenx SE American Depositary Shares,Netherlands,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKIU,Ark Global Acquisition Corp. Unit,United States,2021,Finance,Business Services
ARKO,ARKO Corp. Common Stock,United States,,Consumer Non-Durables,Food Chains
ARKOW,ARKO Corp. Warrant,United States,,Consumer Non-Durables,Food Chains
ARKR,Ark Restaurants Corp. Common Stock,United States,,Consumer Services,Restaurants
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999,Energy,Coal Mining
ARNA,Arena Pharmaceuticals Inc. Common Stock,United States,2000,Health Care,Major Pharmaceuticals
AROW,Arrow Financial Corporation Common Stock,United States,,Finance,Major Banks
ARPO,Aerpio Pharmaceuticals Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,2020,Health Care,Major Pharmaceuticals
ARRY,Array Technologies Inc. Common Stock,United States,2020,Consumer Durables,Miscellaneous manufacturing industries
ARTL,Artelo Biosciences Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ARTLW,Artelo Biosciences Inc. Warrant,United States,,Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,,Public Utilities,Water Supply
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
ARVN,Arvinas Inc. Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
